title,url,date
Łukasz Langa is the inaugural CPython Developer-in-Residence!,http://feedproxy.google.com/~r/PythonSoftwareFoundationNews/~3/QIjVUbY12IY/ukasz-langa-is-inaugural-cpython.html,2021-07-12
Python 3.10.0b4 is available,http://feedproxy.google.com/~r/PythonInsider/~3/4EX53HOlNa4/python-3100b4-is-available.html,2021-07-11
"Python 3.9.6, 3.8.11, 3.7.11, and 3.6.14 are now available",http://feedproxy.google.com/~r/PythonInsider/~3/mjnsTchkg4Q/python-396-3811-3711-and-3614-are-now.html,2021-06-28
Python 3.10.0b3 is available,http://feedproxy.google.com/~r/PythonInsider/~3/bwg2ghZoNfI/python-3100b3-is-available.html,2021-06-17
Update on the Python Software Foundation Executive Director,http://feedproxy.google.com/~r/PythonSoftwareFoundationNews/~3/XOSTXVDJBCY/update-on-python-software-foundation.html,2021-06-16
